Date,CHRIS/ICE_BPB1,CHRIS/MX_SXH1,CHRIS/MGEX_IW1,CHRIS/ICE_P1,CHRIS/ICE_IW1,CHRIS/ICE_DW1,CHRIS/CME_RB31,CHRIS/MGEX_IC1,CHRIS/MGEX_IP1,CHRIS/MGEX_IS1,CHRIS/MX_CGZ1,CHRIS/CME_LB1,CHRIS/CME_IBV1,CHRIS/ICE_ZJ1,CHRIS/CME_NG31,CHRIS/ICE_AR1,CHRIS/CME_EH1,CHRIS/ICE_KRU1,CHRIS/ICE_SS1,CHRIS/MGEX_IH1,CHRIS/MX_SXM1,CHRIS/CME_NG41,CHRIS/CME_CI1,CHRIS/MX_SXA1,CHRIS/MX_LGB1,CHRIS/MX_SXB1,CHRIS/MX_SCF1,CHRIS/CME_RB21,CHRIS/MX_SXY1,CHRIS/ICE_Y1,CHRIS/ICE_MP1,CHRIS/ICE_NT1,CHRIS/CME_HG11,CHRIS/ICE_ZR1,CHRIS/ICE_SF1,CHRIS/CME_RR1,CHRIS/CME_DA1,CHRIS/CME_ED31,CHRIS/ICE_WA1
2004-11-18,,,,0.0,,,,,,,,617.0,,,,0.0,,,643.0,,,,,,,,,,,10.0,39.0,,0.0,126.0,,22.0,,0.0,
2004-11-19,,,,0.0,,,,,,,,605.0,,,,0.0,,,23.0,,,,,,,,,,,0.0,25.0,,602.0,53.0,,126.0,,0.0,
2004-11-22,,,,0.0,,,,,,,,394.0,,,,2.0,,,490.0,,,,,,,,,,,10.0,65.0,,37.0,8.0,,116.0,,0.0,
2004-11-23,,,,0.0,,,,,,,,583.0,,,,1.0,,,5.0,,,,,,,,,,,0.0,25.0,,31.0,10.0,,112.0,,0.0,
2004-11-24,,,,0.0,,,,,,,,223.0,,,,0.0,,,1.0,,,,,,,,,,,0.0,33.0,,0.0,1.0,,70.0,,0.0,
2004-11-25,,,,0.0,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,10.0,41.0,,,23.0,,,,,
2004-11-26,,,,0.0,,,,,,,,165.0,,,,0.0,,,0.0,,,,,,,,,,,0.0,6.0,,,2.0,,63.0,,0.0,
2004-11-29,,,,0.0,,,,,,,,636.0,,,,1.0,,,109.0,,,,,,,,,,,10.0,21.0,,0.0,15.0,,385.0,,0.0,
2004-11-30,,,,0.0,,,,,,,,439.0,,,3.0,2163.0,,,1514.0,,,,,,,,,,,0.0,24.0,,11.0,2688.0,,1459.0,,0.0,
2004-12-01,,,,0.0,,,,,,,,872.0,,,,0.0,,,57.0,,,,,,,,,,,0.0,34.0,,0.0,194.0,,696.0,,0.0,
